Swimming Pool
Tennis Court
Golf Court
Observatory
Dining Hall
Food Court
Computer Center
Theater
Study Room
Information Office
Mail Room
Lecture Hall
Science Office
Study Abroad Office
College Advising Room
Chemistry Lab
Physics Lab
Biology Lab
Math Lab
Practice Room
Instrument Storage Room
Music Library
Gallery
Auditorium
Art Studio
Anthropological Research Lab
Language Lab
Ping Pong Room
Pool Table Room
Cycling Room
Yoga Room
Racket Ball Room
Soccer Field
Badminton Room
Basketball court
Bowling Center
VR room
X-ray Room
Emergency Room
Insurance Office
Primary Care
Conference Room
Computer Lab
Mechinical Engineer Lab
Electrical Engineer Lab
Chemical Engineer Lab
Biomedical Engineer Lab
Anthropological Research Lab
Garage
Classics Reading Room
Track Field
Gym
Psychological Lab
Service Desk
Exit
